word
a must
must have
have speech
speech device
device the
the proloquo2go
proloquo2go app
app on
on my
my son
son device
device is
is the
the best
best app
app you
you can
can get
get with
with my
my son
son having
having down
down syndrome
syndrome kleinfelter
kleinfelter syndrome
syndrome it’s
it’s a
a double
double whammy
whammy when
when it
it comes
comes to
to speech
speech as
as both
both disabilities
disabilities have
have speech
speech problems
problems and
and this
this device
device with
with the
the app
app helps
helps my
my son
son a
a lot
lot i’m
i’m able
able to
to add
add things
things like
like taking
taking a
a picture
picture of
of his
his mom
mom dad
dad brothers
brothers and
and sister
sister with
with there
there names
names you
you can
can take
take your
your own
own pictures
pictures and
and add
add them
them and
and pick
pick a
a voice
voice to
to go
go with
with it
it i
i even
even added
added our
our phone
phone number
number to
to our
our pictures
pictures and
and added
added our
our address
address you
you can
can also
also delete
delete items
items on
on there
there you
you know
know they
they will
will or
or may
may not
not use
use which
which i
i have
have done
done i’ve
i’ve also
also added
added certain
certain favorite
favorite snacks
snacks my
my son
son likes
likes foods
foods people
people and
and so
so on
on its
its very
very easy
easy to
to use
use once
once you
you get
get the
the hang
hang of
of we’re
we’re what
what goes
goes and
and what
what each
each item
item is
is under
under you
you can
can even
even pick
pick the
the amount
amount of
of pictures
pictures you
you want
want on
on ease
ease grid
grid and
and the
the size
size as
as well
well i
i am
am so
so glad
glad my
my sons
sons speech
speech therapist
therapist she
she took
took care
care of
of all
all the
the paper
paper work
work for
for my
my sons
sons insurance
insurance to
to cover
cover his
his device
device the
the device
device also
also comes
comes with
with a
a strong
strong rugged
rugged case
case with
with a
a stand
stand which
which opens
opens and
and closes
closes and
and alphas
alphas a
a strong
strong handle
handle and
and 2
2 different
different length
length straps
straps so
so you
you can
can wear
wear the
the device
device with
with the
the app
app across
across your
your body
body so
so you
you don’t
don’t loose
loose it
it i
i highly
highly recommend
recommend this
this device
device with
with the
the proloquo2go
proloquo2go app
app for
for all
all kids
kids and
and adults
adults with
with speech
speech problems
problems it
it has
has helped
helped my
my son
son a
a lot
lot he
he doesn’t
doesn’t get
get frustrated
frustrated no
no more
more when
when you
you cannot
cannot understand
understand what
what he
he says
says or
or to
to others
autistic adult
adult i
i am
am an
an autistic
autistic woman
woman who
who was
was originally
originally nonverbal
nonverbal and
and forced
forced to
to speak
speak in
in different
different therapies
therapies they
they would
would drill
drill me
me to
to repeat
repeat different
different phrases
phrases but
but i
i felt
felt like
like i
i was
was saying
saying nothing
nothing because
because i
i was
was just
just repeating
repeating what
what other
other people
people wanted
wanted me
me to
to say
say i
i use
use all
all of
of the
the different
different assistiveware
assistiveware apps
apps in
in different
different communication
communication situations
situations they
they listened
listened to
to autistic
autistic people
people and
and converted
converted our
our natural
natural dialect
dialect and
and communications
communications into
into apps
apps that
that really
really work
work for
for us
us for
for the
the first
first time
time since
since i
i was
was seven
seven years
years old
old i
i finally
finally found
found my
my authentic
authentic autistic
autistic voice
voice i
i am
am myself
myself again
again thank
thank you
you autistic
autistic community
community and
and thank
thank you
you assistiveware
great app
app happy
happy that
that such
such an
an app
app exists
exists our
our toddler
toddler who
who we
we suspected
suspected to
to be
be on
on the
the spectrum
spectrum before
before his
his second
second birthday
birthday has
has been
been using
using this
this app
app for
for about
about the
the past
past 6
6 months
months he
he turned
turned three
three not
not long
long ago
ago and
and has
has been
been learning
learning how
how to
to communicate
communicate using
using the
the app
app with
with the
the help
help of
of his
his therapists
therapists i
i really
really like
like that
that it
it can
can be
be customized
customized for
for early
early learners
learners such
such as
as my
my toddler
toddler the
the only
only reason
reason i
i give
give it
it four
four stars
stars is
is because
because he
he uses
uses this
this app
app on
on the
the ipad
ipad but
but for
for some
some reason
reason he
he has
has trouble
trouble swiping
swiping up
up down
down for
for some
some reason
reason even
even after
after we
we try
try to
to show
show him
him over
over and
and over
over again
again we
we were
were told
told it’s
it’s probably
probably a
a fine
fine motor
motor issue
issue for
for now
now we
we all
all swipe
swipe the
the page
page for
for him
him to
to access
access the
the rest
rest of
of his
his icons
icons i
i would
would love
love it
it if
if the
the ability
ability to
to swipe
swipe left
left to
to right
right were
were included
included since
since he
he is
is able
able to
to do
do that
that with
with no
no problem
crucial app
app my
my granddaughter
granddaughter is
is essentially
essentially non
non verbal
verbal for
for years
years 11
11 to
to be
be exact
exact we
we have
have tried
tried to
to give
give her
her a
a voice
voice we
we thought
thought because
because she
she can
can repeat
repeat that
that she
she would
would eventually
eventually began
began to
to talk
talk to
to our
our dismay
dismay it
it did
did not
not happen
happen finally
finally with
with the
the advice
advice from
from a
a girlfriend
girlfriend i
i decided
decided she
she needed
needed a
a communication
communication device
device i
i purchased
purchased a
a ipad
ipad mini
mini and
and loaded
loaded proloquo2go
proloquo2go on
on it
it she
she is
is picking
picking it
it up
up fairly
fairly well
well to
to my
my delight
delight this
this program
program on
on the
the recommended
recommended intermediate
intermediate is
is so
so expansive
expansive i
i love
love how
how you
you can
can customize
customize it
it i
i wish
wish i
i had
had done
done this
this years
years ago
ago because
because we
we would
would be
be on
on a
a better
better speech
speech ground
ground by
by now
now please
please to
to all
all who
who have
have similar
similar circumstances
circumstances do
do not
not delay
delay whether
whether the
the child
child has
has speech
speech or
or not
not make
make the
the worthwhile
worthwhile purchase
purchase of
of a
a speech
speech program
program this
this program
program is
is certainly
certainly affordable
affordable and
and can
can be
be utilized
utilized into
into adulthood
very simple
simple to
to manage
manage this
this app
app is
is extremely
extremely versatile
versatile you
you can
can use
use a
a library
library of
of pictures
pictures take
take pictures
pictures from
from within
within the
the app
app and
and even
even choose
choose photos
photos from
from your
your device’s
device’s album
album there
there are
are multiple
multiple voices
voices avail
avail which
which you
you can
can customize
customize the
the characteristics
characteristics of
of each
each you
you can
can make
make it
it as
as simple
simple or
or complex
complex as
as you
you want
want we
we started
started with
with just
just a
a few
few icons
icons for
for our
our cognitively
cognitively disabled
disabled son
son and
and gradually
gradually increased
increased the
the grid
grid to
to currently
currently like
like 6x8
6x8 grid
grid of
of icons
icons he
he knows
knows it’s
it’s layout
layout better
better than
than we
we do
do this
this is
is an
an awesome
awesome app
app with
with awesome
awesome support
support both
both through
through developer
developer and
and a
a facebook
facebook users
users support
support page
page i
i highly
highly recommend
recommend this
this app
app if
if you
you feel
feel your
your ipad
ipad is
is not
not loud
loud enough
enough with
with a
